MÉTRICAS POR CLUSTERS DE VECINDARIOS
==================================


Ciudad: Madrid
Cluster    MAE        MAPE (%)   Cantidad   Dist. Media    
-------------------------------------------------------
0          11.29      19.86      858        1.32           
1          12.02      25.00      218        7.34           
2          12.51      24.36      314        2.53           
3          10.39      19.59      470        4.54           
4          11.73      22.01      434        3.84           
5          10.23      23.80      476        4.63           
6          9.00       17.28      447        3.36           
7          11.76      24.03      193        5.55           
8          11.54      21.60      330        5.85           
9          11.68      20.08      713        1.12           
10         11.88      23.06      491        2.17           
11         11.49      20.26      152        7.96           
12         10.59      23.21      167        6.89           
13         11.69      18.92      584        0.44           
14         10.57      19.70      107        8.38           
15         11.87      20.92      1079       0.88           
16         9.91       19.50      207        5.44           
17         11.01      21.80      451        3.53           
18         9.71       19.82      91         9.23           
19         9.31       16.38      128        11.28          

Ciudad: Barcelona
Cluster    MAE        MAPE (%)   Cantidad   Dist. Media    
-------------------------------------------------------
0          13.75      24.51      537        0.96           
1          12.05      25.81      238        2.23           
2          12.32      23.12      214        3.83           
3          13.55      24.45      354        1.57           
4          14.03      26.40      300        3.75           
5          12.86      24.98      331        1.79           
6          11.17      21.95      361        2.30           
7          11.50      23.26      222        2.91           
8          12.27      25.85      262        4.85           
9          11.13      23.55      247        0.86           
10         12.71      24.05      236        3.03           
11         12.67      21.46      54         5.15           
12         13.54      25.65      246        0.87           
13         12.37      25.69      115        2.83           
14         13.21      23.80      378        1.56           
15         11.55      24.46      104        4.39           
16         13.40      23.34      230        1.84           
17         14.00      26.56      535        0.79           
18         12.42      24.33      292        1.10           
19         12.47      24.04      181        1.89           

Ciudad: Sevilla
Cluster    MAE        MAPE (%)   Cantidad   Dist. Media    
-------------------------------------------------------
0          11.07      15.53      92         1.02           
1          12.41      18.06      126        2.65           
2          11.39      16.89      127        2.03           
3          9.97       19.09      58         3.03           
4          12.97      18.12      25         5.94           
5          10.61      13.93      141        1.51           
6          7.70       13.76      51         3.19           
7          10.67      21.70      23         2.10           
8          11.45      16.01      138        2.06           
9          9.70       15.97      60         1.81           
10         13.36      18.83      95         1.31           
11         12.28      17.53      115        2.06           
12         10.96      15.09      106        1.31           
13         10.97      18.13      65         3.48           
14         10.22      20.23      39         0.98           
15         9.50       13.04      17         5.54           
16         12.01      21.58      7          6.19           
17         10.81      15.27      126        2.23           
18         9.64       14.46      119        1.60           
19         11.18      16.38      115        2.53           

Ciudad: Valencia
Cluster    MAE        MAPE (%)   Cantidad   Dist. Media    
-------------------------------------------------------
0          9.41       17.18      120        1.86           
1          10.41      15.17      27         20.66          
2          10.08      15.24      161        0.79           
3          10.92      17.59      191        3.94           
4          10.30      18.11      126        0.73           
5          8.40       15.57      163        1.91           
6          8.04       15.76      118        2.32           
7          5.92       8.83       20         13.08          
8          8.53       15.79      165        3.53           
9          9.12       19.60      176        2.23           
10         9.07       14.05      181        0.61           
11         8.52       15.17      69         2.39           
12         9.98       16.82      99         3.37           
13         9.75       15.72      54         4.48           
14         9.17       16.33      227        1.37           
15         11.02      19.99      112        4.12           
16         8.85       15.20      205        2.30           
17         8.85       17.26      157        1.28           
18         9.67       18.61      105        2.89           
19         9.74       17.54      143        2.60           

Ciudad: Málaga
Cluster    MAE        MAPE (%)   Cantidad   Dist. Media    
-------------------------------------------------------
0          8.99       15.65      107        1.84           
1          9.43       12.88      45         1.05           
2          10.72      15.72      112        5.95           
3          12.75      21.90      87         3.69           
4          9.82       13.94      219        0.36           
5          8.74       12.92      274        0.57           
6          1.72       2.59       6          13.25          
7          10.08      15.75      252        0.85           
8          9.74       11.92      98         0.30           
9          12.17      16.10      11         12.37          
10         8.96       15.36      223        2.16           
11         10.45      17.67      45         4.87           
12         9.32       15.12      126        1.47           
13         10.32      16.59      160        1.22           
14         8.86       11.89      15         3.03           
15         10.70      14.74      88         4.15           
16         6.79       14.72      10         4.85           
17         9.75       16.46      108        1.05           
18         10.26      14.31      211        0.66           
19         12.57      25.97      32         8.56           

Ciudad: Menorca
Cluster    MAE        MAPE (%)   Cantidad   Dist. Media    
-------------------------------------------------------
0          11.90      16.09      39         16.92          
1          9.66       14.44      115        41.33          
2          8.38       9.89       13         7.24           
3          12.56      19.46      24         15.41          
4          10.35      13.49      57         37.37          
5          7.03       10.07      12         26.48          
6          9.04       12.76      31         11.29          
7          17.17      29.27      7          2.17           
8          11.97      15.75      76         37.91          
9          14.62      20.03      11         21.96          
10         22.96      26.24      5          35.85          
12         9.68       15.35      5          7.92           
14         6.72       9.77       6          1.65           
15         9.08       12.51      7          6.55           
