Archivo gráfico: tendencias_temporales.png

Descripción:
Gráfico compuesto por dos subgráficos que muestran tendencias temporales de las reseñas. El primero representa el volumen mensual de reseñas, y el segundo muestra la evolución del sentimiento promedio (calculado con VADER) por mes.

Información adicional:
  Período de análisis: Mensual
  Método de análisis de sentimiento: VADER

Datos del gráfico:
          date  review_id  vader_compound  cluster
0   2011-01-01          1        0.930000        2
1   2011-04-01          1        0.982000        2
2   2011-05-01          1        0.895700        2
3   2011-06-01          3        0.841100        2
4   2011-07-01          2        0.897150        2
5   2011-08-01          2        0.926600        2
6   2011-09-01          3        0.925667        2
7   2011-11-01          1        0.950100        2
8   2011-12-01          1        0.950100        0
9   2012-01-01          2        0.929650        2
10  2012-02-01          3        0.977467        2
11  2012-03-01          2        0.968800        2
12  2012-05-01          7        0.879814        2
13  2012-06-01          9        0.954233        2
14  2012-07-01          3        0.922167        2
15  2012-08-01          9        0.930478        2
16  2012-09-01          9        0.938389        2
17  2012-10-01          9        0.958967        2
18  2012-11-01          4        0.955725        2
19  2012-12-01          5        0.867740        2
20  2013-01-01          6        0.868100        2
21  2013-02-01          4        0.903800        2
22  2013-03-01         14        0.884836        2
23  2013-04-01         19        0.867258        2
24  2013-05-01         26        0.894208        2
25  2013-06-01         21        0.941038        2
26  2013-07-01         38        0.928197        2
27  2013-08-01         32        0.933975        2
28  2013-09-01         35        0.928989        2
29  2013-10-01         29        0.920045        2
30  2013-11-01         25        0.892260        2
31  2013-12-01         24        0.857892        2
32  2014-01-01         26        0.873842        2
33  2014-02-01         23        0.890317        2
34  2014-03-01         40        0.915682        2
35  2014-04-01         52        0.931698        2
36  2014-05-01         66        0.904630        2
37  2014-06-01         75        0.917828        2
38  2014-07-01         72        0.895731        2
39  2014-08-01         86        0.877517        2
40  2014-09-01        118        0.908437        2
41  2014-10-01         88        0.884002        2
42  2014-11-01         64        0.920922        2
43  2014-12-01         48        0.846467        2
44  2015-01-01         64        0.880280        2
45  2015-02-01         59        0.886132        2
46  2015-03-01        119        0.877107        2
47  2015-04-01        136        0.884918        2
48  2015-05-01        188        0.894229        2
49  2015-06-01        181        0.877178        2
50  2015-07-01        174        0.841583        2
51  2015-08-01        167        0.874817        2
52  2015-09-01        166        0.890381        2
53  2015-10-01        183        0.879286        2
54  2015-11-01        101        0.889026        2
55  2015-12-01         99        0.838844        2
56  2016-01-01        108        0.845016        2
57  2016-02-01        145        0.857054        2
58  2016-03-01        158        0.870728        2
59  2016-04-01        188        0.887189        2
60  2016-05-01        278        0.874846        2
61  2016-06-01        279        0.850709        2
62  2016-07-01        274        0.842540        2
63  2016-08-01        249        0.840764        2
64  2016-09-01        280        0.847850        2
65  2016-10-01        325        0.839682        2
66  2016-11-01        206        0.808977        2
67  2016-12-01        163        0.811831        2
68  2017-01-01        164        0.786819        2
69  2017-02-01        171        0.816883        2
70  2017-03-01        280        0.803289        2
71  2017-04-01        346        0.819001        2
72  2017-05-01        389        0.793763        2
73  2017-06-01        342        0.816881        2
74  2017-07-01        398        0.786060        2
75  2017-08-01        347        0.809665        2
76  2017-09-01        376        0.808683        2
77  2017-10-01        355        0.833374        2
78  2017-11-01        205        0.808800        2
79  2017-12-01        160        0.772921        2
80  2018-01-01        216        0.795341        2
81  2018-02-01        230        0.788197        2
82  2018-03-01        334        0.780953        2
83  2018-04-01        413        0.786639        2
84  2018-05-01        441        0.795594        2
85  2018-06-01        460        0.824602        2
86  2018-07-01        435        0.794505        2
87  2018-08-01        459        0.793590        2
88  2018-09-01        466        0.800579        2
89  2018-10-01        525        0.813679        2
90  2018-11-01        393        0.791136        2
91  2018-12-01        322        0.759824        2
92  2019-01-01        359        0.749889        2
93  2019-02-01        377        0.763619        2
94  2019-03-01        487        0.770189        2
95  2019-04-01        520        0.767264        2
96  2019-05-01        579        0.786655        2
97  2019-06-01        628        0.785676        2
98  2019-07-01        633        0.796091        2
99  2019-08-01        594        0.788698        2
100 2019-09-01        663        0.797587        2
101 2019-10-01        641        0.782660        2
102 2019-11-01        482        0.765938        2
103 2019-12-01        376        0.778965        2
104 2020-01-01        481        0.774635        2
105 2020-02-01        448        0.768214        2
106 2020-03-01        279        0.730183        2
107 2020-04-01         13        0.688162        2
108 2020-05-01         13        0.670969        2
109 2020-06-01         32        0.652791        2
110 2020-07-01        141        0.720687        2
111 2020-08-01        107        0.650906        2
112 2020-09-01         59        0.678824        2
113 2020-10-01         97        0.688786        2
114 2020-11-01         42        0.732879        2
115 2020-12-01         52        0.660308        2
116 2021-01-01         73        0.700060        2
117 2021-02-01         63        0.620922        2
118 2021-03-01         83        0.747775        2
119 2021-04-01        107        0.721271        2
120 2021-05-01        166        0.745978        2
121 2021-06-01        268        0.742302        2
122 2021-07-01        426        0.745000        2
123 2021-08-01        540        0.716813        2
124 2021-09-01        462        0.751618        2
125 2021-10-01        516        0.729861        2
126 2021-11-01        582        0.734373        2
127 2021-12-01        454        0.737536        2
128 2022-01-01        476        0.716178        2
129 2022-02-01        525        0.721339        2
130 2022-03-01        664        0.726500        2
131 2022-04-01        820        0.762065        2
132 2022-05-01        868        0.786046        2
133 2022-06-01        774        0.784476        2
134 2022-07-01        873        0.775399        2
135 2022-08-01        884        0.760688        2
136 2022-09-01        833        0.761779        2
137 2022-10-01        864        0.750654        2
138 2022-11-01        707        0.733250        2
139 2022-12-01        542        0.735556        2
140 2023-01-01        643        0.726192        2
141 2023-02-01        675        0.726420        2
142 2023-03-01        777        0.747397        2
143 2023-04-01        871        0.753837        2
144 2023-05-01        888        0.767235        2
145 2023-06-01        851        0.764159        2
146 2023-07-01        840        0.770953        2
147 2023-08-01        833        0.736370        2
148 2023-09-01        803        0.773050        2
149 2023-10-01        834        0.765165        2
150 2023-11-01        752        0.749125        2
151 2023-12-01        581        0.720443        2
152 2024-01-01        603        0.730310        2
153 2024-02-01        674        0.742275        2
154 2024-03-01        788        0.738527        2
155 2024-04-01        849        0.761762        2
156 2024-05-01        911        0.769454        2
157 2024-06-01        885        0.762163        2
158 2024-07-01        844        0.760203        2
159 2024-08-01        729        0.744064        2
160 2024-09-01         56        0.728979        2
161 2024-10-01          5        0.681660        2
162 2024-11-01          3        0.440333        2
163 2024-12-01          7        0.698543        1

Fecha de generación: 2025-05-13 04:55:57
